"serviceIdentifierCode","title","dataIdentificationCitationAnchor","organisation","electronicMailAddress","metadataStandardVersion",
"1c9b43c3-064d-40c3-aa7c-879b7376ef6f","Potentieel koude en warmte uit open en gesloten WKO systemen (GJ/ha.jaar) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c474b492-da63-4a33-9bdd-b3709ce2cd6c","Geluidskaarten Schiphol 2016 lnight WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"5856173c-e58d-4b4c-8f9b-046ee1f20c1c","Potentieel koude en warmte uit open en gesloten WKO systemen (GJ/ha.jaar) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"627b50bf-2e33-4beb-a314-ff8c0fe8912e","Vervoersnetwerken Waterwegen RWS (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"68d14b1c-71ad-4ce7-8267-45787a80c2d4","Adressen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"97a7d966-7261-49d4-bc08-c4900981f092","Vervoersnetwerken - Luchttransport (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"f2437a92-ddd3-4777-a1bc-fdf4b4a7fcb8","NWB - Wegen (Nationaal Wegen Bestand) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"4fb15e0d-d88f-40f1-b407-3d3edcf7e184","Vervoersnetwerken Wegen RWS (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"bc0b75c6-3eef-49de-aca2-8483024903c1","Beschermde Gebieden Wetlands (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"127125c8-20c2-451a-a1c8-f9aad8ae5c5e","CBS Wijken en Buurten 2016 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ce963e61-779f-470f-a99d-48d9796e5ba3","Geografische Namen (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"578f993f-4d0b-4c4a-a08b-dfa9e1d1376e","Nationaal Hydrologisch Instrumentarium (NHI) netwerkschematisaties WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"5b40b9b4-fcb2-4553-bcab-34824c43c992","Adressen (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"5bb85b77-fffd-449b-bd61-f076fe07cc4b","Vervoersnetwerken - Kabelbanen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"1d568785-efdd-429d-b491-56f785c3656a","Administratieve Eenheden (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c78a99eb-9ba3-4307-a21b-2a64ad5da039","Mosselzaadinvanginstallaties WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d69fee4a-e3ff-47d4-919d-e55276a3fad9","Vervoersnetwerken - Luchttransport (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"598c4109-21d2-4a6c-b083-9975a6736853","Weggegevens (Weggeg) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"9940c446-6fd4-4ab3-a4de-7d0ee028a8d1","Ecotopen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"f76bdce5-344e-415f-8f2c-972755e80b65","Schelpdierwater WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"a7aeddf2-3b37-4668-9c75-de93d9326276","Natura2000 (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7e87a655-c4eb-404d-9d0a-efa2dccef7cc","Geografische Namen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"a2724dae-ebad-4a07-9405-49bddfde3368","Scheepvaart Verkeersscheidingsstelsel Noordzee WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"315a465b-e95d-46ea-9d97-8bbee81844cc","Vervoersnetwerken - Gemeenschappelijke elementen (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"a84f9836-9111-4e45-a311-3dab39019e15","Vervoersnetwerken Waterwegen RWS (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"e264c1e4-90fe-4968-bbf2-7019f6095348","Geluidblootstelling van het hoofdspoorwegennet Lden WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"e69bb2e9-eff4-4fb3-86a6-057cf628e761","Vogelrichtlijn verspreiding van soorten WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"4b6752ae-65d6-44b5-98ef-1fc30f4fd92d","Geluidskaarten Rijkswegen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ce4ac3b9-8291-498d-95de-79fe7b6f5259","Vervoersnetwerken - Wegen (INSPIRE geharmoniseerd) - Kadaster WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"88a93a3b-d522-4c5d-9b0f-c6c39a118442","CBS Gebiedsindelingen (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d415c10a-8dbf-4c01-8061-4689e5db38ac","Ecotopen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d293204f-6581-4b0a-811b-1dcce97adedd","Publiekrechtelijke Beperking WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"35359958-c40a-486f-9cf5-567a94de905e","Bestuurlijke Grenzen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"03c48a93-1e31-4c69-92c6-9a7efecf67a9","Digitaal Topografisch Bestand (DTB) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlandse metadata profiel op ISO 19119 voor services 1.2",
"40c4ec8c-14b2-4104-982b-c0ebfd5397c4","Statistical Units Grid (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"9c5351c8-d8f4-41c2-9642-42a63496a6fe","Habitatrichtlijn verspreidingsgebied van habitattypen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d981070b-888c-42d5-85ff-1e383f3d7fce","Windsnelheden 100m hoogte WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"37e05521-c323-4dbe-aba4-de1178ba44a5","Vogelrichtlijn verspreiding van soorten WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"40f04047-3b61-40eb-b026-c1a0caa71881","Potentiekaart reststromen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"6a129fd1-0988-4b8a-975a-6ff134b6754a","Geluidblootstelling van het hoofdspoorwegennet Lnight WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"1601e160-91e8-4091-9aca-10294f819d42","Natura2000 (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d7bc97fa-6b4a-4321-a7c4-cd621bc0be77","Kadastrale Percelen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"b4ae5b2c-f557-4a30-bbf2-c2681a544f32","Vaarweg Informatie Nederland (VIN) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"6ff5af41-4cb0-406a-a77c-a4cf4223cbc7","CBS Wijken en Buurten 2016 WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"94e5b115-bece-4140-99ed-93b8f363948e","Actueel Hoogtebestand Nederland 3 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c0a8e0ee-8639-44d4-be07-d7edf9c276c7","Vervoersnetwerken - Gemeenschappelijke elementen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"e08079df-6c19-486e-916e-5c9948cfafea","CBS Gebiedsindelingen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7e450110-f643-4b73-9262-4f13966cffc6","Kaderrichtlijn Water EU2009 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerpdok@kadaster.nl, beheerpdok@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"8e7686c3-f75e-411f-866e-6985267b916b","Vogelrichtlijn verspreidingsgebied van soorten WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"2ca26f5e-0b39-48a4-9e8d-7b9ffde9a5b0","Richtlijn Overstromingsrisico EU2018 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"598c4109-21d2-4a6c-b083-9975a6736849","NWB - Vaarwegen (Nationaal Wegen Bestand) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"3d759186-7cee-4218-aa44-165f3922fbbb","Vervoersnetwerken - Waterwegen (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"65f9628b-0a58-4348-8fff-c2d02788acdb","Vervoersnetwerken - spoorwegen (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d467c2cc-4026-b80a-d4e1a9d2bf79","Hydrografie - Netwerk RWS (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"a035801a-3256-4a36-9f81-02421aacee17","CBS Wijken en Buurten 2018 versie 1 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"1ce74355-763a-481d-b9d7-aaafbf0d7d53","Habitatrichtlijn verspreiding van soorten WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheer@pdok.nl, beheer@pdok.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"58353cdf-b3a1-454e-9284-932a7e815e57","Hydrografie - Physical Waters (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"609d0c9e-173f-4f90-b020-c91ab3a0b6ef","RD info WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, BeheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"2f12ef7d-3eb4-46a9-8b45-702a0f054d57","Zeegebieden (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c6fa88ab-e440-414b-a773-793c4ce6d8df","Bestuurlijke grenzen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"1fa220c2-5f2e-4943-a57e-c291cc35084b","Habitatrichtlijn verspreidingsgebied van soorten WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheer@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"abf1f9f0-1b85-40e8-86ec-86bee6003b4e","CBS Vierkantstatistieken 100m WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7ab53b91-9df1-4c39-ba0e-06ec80ce512b","Beschermde gebieden - CDDA (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerpdok@kadaster.nl, beheerpdok@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"9699058e-707e-41df-93b5-ff75654d32b2","CBS Provincies WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d94b1eca-8a7d-4dc4-b979-36257878758f","CBS Gebiedsindelingen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"f917ffa9-1531-48ea-867e-0d413d85b05a","Digitaal Topografisch Bestand (DTB) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 1.2",
"a1ed8a00-da07-472e-9627-99175d437c94","Geluidskaarten Schiphol 2016 lden WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c226f573-4b39-4cbd-b84b-01f308e70972","CBS Provincies WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"80e015fa-f0e1-487e-a7e8-84a5ba7c4e7a","Geluidskaarten Schiphol 2016 lden WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"32655f4b-551b-42c8-b071-95738d0f5daa","Inspire nl vervoersnetwerken - gemeenschappelijk elementen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 1.2",
"30f65c89-2246-49f8-8b50-0f1140d6f2aa","Hydrografie - Physical Waters (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"54d2021b-e778-4834-a3c6-75c89d36b942","OpenTopo WMTS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerpdok@kadaster.nl, beheerpdok@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"68722979-8d6c-4ee4-a81a-8381d2588fe5","Hydrografie - Netwerk RWS (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"6d23a02b-5a8a-447e-a481-ddb2a085c1fa","BRT achtergrondkaart WMTS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"aaf53e6f-fe99-4a86-a61c-50b128412d80","Mossel- en oesterhabitats WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"3d01c1ca-973c-4652-baa5-39458bb9e181","Schelpdierenpercelen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"f1dadc2c-6de2-415a-a2b7-aaf057ddda43","Adressen V2 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"635bdc85-c596-4afb-ab07-de20c662310c","Zeegebieden (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"09588464-071b-47be-8cbe-d15f2e1f9634","Vervoersnetwerken - Kabelbanen (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d4e573b0-bd3b-4d7b-a97d-e65841e6e0b4","Kaderrichtlijn Water actueel WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerpdok@kadaster.nl, beheerpdok@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"32b1eb9e-c54f-4598-92d2-328eb77fa0d3","Natura2000 WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"94f241c2-43a2-42c3-8e9e-71976605aa0e","TOP10NL WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
