"datasetIdentifierCode","title","MD_DataIdentificationCitationAnchor","organisation","electronicMailAddress","metadataStandardVersion"
"eu-cb527d-f6db-4835-b0cd-deb245241254","Vervoersnetwerken - Wegen (INSPIRE geharmoniseerd) - RWS","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/eu-cb527d-f6db-4835-b0cd-deb245241254","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , beheerPDOK@kadaster.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"2cc2c30c-91b8-412a-a060-e84d25272581","Zones en agglomeraties (Richtlijn Luchtkwaliteit) 2013","https://data.rivm.nl/inspire/id#5cb4b489-67c8-44bc-85c5-424a80a53b3b","no organisationName found in dataset record","[geodata@rivm.nl, , geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"a322184d-6285-4856-bb78-f450b30ffc0e","Bathymetrie Nederlands deel van de Noordzee dieper dan 10 m LAT","https://ngr.acceptatie.nationaalgeoregister.nl/geonetwork/srv/resourcesa322184d-6285-4856-bb78-f450b30ffc0e","no organisationName found in dataset record","[data@hydro.nl, data@hydro.nl, data@hydro.nl, , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"58e7dc38-a498-4852-b4ef-908f5baa9056","Begrenzingen van vergunde ontgrondingsgebieden voor zand- en grindwinning","http://nationaalgeoregister.nl/geonetwork/srv/dut/csw?SERVICE=CSW&version=2.0.2&REQUEST=GetRecordById&elementSetName=full&OutputSchema=http://www.isotc211.org/2005/gmd&ID=58e7dc38-a498-4852-b4ef-908f5baa9056","Interprovinciaal Overleg","[inspire@gbo-provincies.nl, inspire@gbo-provincies.nl, inspire@gbo-provincies.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"b646c62e-f763-4b96-8b87-009abc0102f8","Nutsdiensten en overheidsdiensten","https://www.nationaalgeoregister.nl/geonetwork/srv/api/recordsb646c62e-f763-4b96-8b87-009abc0102f8","Kadaster","[klic@kadaster.nl, klic@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"a7fb2234-f7b4-4a03-b282-f10947f42fb1","Kaart van de bodemopbouw in Nederland 1:50.000 onder INSPIRE","https://ngr.acceptatie.nationaalgeoregister.nl/geonetwork/srv/resourcesbbe3c19d-12b0-4912-a6f4-46eb189e85ac","TNO Geologische Dienst Nederland","[info@dinoloket.nl, geodesk.cgi@wur.nl, info@dinoloket.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"af0c582f-9e6b-46e6-865a-fc3a2d5289b9","Bodemgebruik","http://kadaster/06b6c650-cdb1-11dd-ad8b-0800200c9a78","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"d9baa847-4652-4588-abe1-0b050f40f27f","Ziekenhuizen in Nederland (september 2013)","https://data.rivm.nl/inspire/id#1e3a98db-5d5e-4e61-8b64-1d132ddb439e","no organisationName found in dataset record","[atlas@rivm.nl, , geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3","Wijk- en Buurtkaart 2020 versie 1","https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2019","Centraal Bureau voor de Statistiek","[infoservice@cbs.nl, infoservice@cbs.nl, infoservice@cbs.nl, , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"dc5b522e-3e14-4738-9e8e-2401e1b19ef2","Potentieel koude en warmte uit open en gesloten WKO systemen (GJ/ha.jaar)","https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/dc5b522e-3e14-4738-9e8e-2401e1b19ef2","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"a04afee4-47d5-45b7-b7a0-a6f86106af11","Mosselzaadinvanginstallaties","http://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/a04afee4-47d5-45b7-b7a0-a6f86106af11","no organisationName found in dataset record","[geodatabeheer.giscc@rvo.nl, VR@minez.nl, geodatabeheer.giscc@rvo.nl, beheer@pdok.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"be1b1514-8d1f-48e1-9624-fee9b784138b","Vaarwegmarkeringen Nederland","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/be1b1514-8d1f-48e1-9624-fee9b784138b","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"d6b85d84-cdb9-4a6e-b799-cf8826e22a94","Ligging industrie en CO2 emissies","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/d6b85d84-cdb9-4a6e-b799-cf8826e22a94","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"fcefa13c-44e2-4953-b6d6-1ddceebc57fc","Vogelrichtlijn verspreiding van soorten","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/fcefa13c-44e2-4953-b6d6-1ddceebc57fc","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]","Nederlandse metadata profiel op ISO 19115 voor geografie 1.3"
"cbeaebc3-815a-48af-a978-0e16892865fc","Vogelrichtlijn verspreidingsgebied van soorten","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/cbeaebc3-815a-48af-a978-0e16892865fc","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]","Nederlandse metadata profiel op ISO 19115 voor geografie 1.3"
"5996e444-f7f3-40d2-b485-8b9af6e8aa89","Scheepvaart verkeersscheidingsstelsel Noordzee (Nederlands Continentaal Plat)","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/5996e444-f7f3-40d2-b485-8b9af6e8aa89","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"29c17585-e702-463f-a5dc-99d34b17d333","RDinfo","http://kadaster/06b6c650-cdb1-11dd-ad8b-0800200c9a81","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl, rd@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"6c06740d-058f-4a12-bb3f-bf68efd03d09","Vervoersnetwerken - Kabelbanen (INSPIRE geharmoniseerd)","http://kadaster/ed4caa3b-a49e-4a9a-8206-50a3cf451b9a","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"8f45b8ef-0ce8-463a-9059-5efdcecb785c","Vervoersnetwerken - Wegen (INSPIRE geharmoniseerd)","http://kadaster/df1a98c0-58ba-48ff-8825-b4fb6322c586","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"3a7dd0a6-d130-4c4c-b0ba-24365cf036e2","Vervoersnetwerken - Spoorwegen (INSPIRE geharmoniseerd)","http://kadaster/cb4edbd2-2dca-4d44-92bb-b2202048b526","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"db8d613f-5edc-4467-9cc0-e2dcfb9d64a8","Statistical Units Grid","https://geodata.nationaalgeoregister.nl/inspire/su-grid/wfs","Statistics Netherlands","[infoservice@cbs.nl, infoservice@cbs.nl, infoservice@cbs.nl, , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"791adbe3-772f-42cb-a3be-5a617bcecef0","Zeegebieden (INSPIRE geharmoniseerd)","http://kadaster/9778afe6-2152-4a8f-ba32-9697625401e3","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"58d39928-f502-48c9-a8c1-03244dc181bf","Geluidkaart Schiphol 2016 (Lnight)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records58d39928-f502-48c9-a8c1-03244dc181bf","Ministerie van IenW","[sylvia.koolmees@minienw.nl, sylvia.koolmees@minienw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"002d9127-c16d-4b8d-9f5e-102a8c8e36c4","Geluidkaart hoofdspoornet 2016 (Lnight)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records/002d9127-c16d-4b8d-9f5e-102a8c8e36c4","Ministerie van IenW","[sylvia.koolmees@minienw.nl, sylvia.koolmees@minienw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"03671a9e-6aaf-464d-be99-9aad25cef9e3","Habitatrichtlijn verspreidingsgebied van habitattypen","https://ngr.acceptatie.nationaalgeoregister.nl/geonetwork/srv/resources03671a9e-6aaf-464d-be99-9aad25cef9e3","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, , GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"977e0e94-7aa9-4784-b2da-eaec44adb61b","Habitatrichtlijn verspreiding van habitattypen","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/977e0e94-7aa9-4784-b2da-eaec44adb61b","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"a57cb859-c4fe-444c-adc6-be14cb2bbf36","Geluidbelasting rijkswegen in Nederland 2016 (nacht gemiddelde)","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/a57cb859-c4fe-444c-adc6-be14cb2bbf36","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"edf79e6a-d73d-4def-8d22-0f495cc76a73","Bronbestanden waterkwaliteit","no MD_DataIdentificationCitationAnchor","Informatiehuis Water","[servicedesk@ihw.nl, servicedesk@ihw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 1.3"
"19165027-a13a-4c19-9013-ec1fd191019d","Wetlands (RAMSAR) (INSPIRE Geharmoniseerd)","http://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/19165027-a13a-4c19-9013-ec1fd191019d","no organisationName found in dataset record","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, beheer@pdok.nl, , ]","Nederlandse metadata profiel op ISO 19115 voor geografie 1.3"
"ffefc3dc-dc8f-4589-ae22-a60bebcdf5cb","Wijk- en Buurtkaart 2018 versie 3","https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2018","Centraal Bureau voor de Statistiek","[infoservice@cbs.nl, infoservice@cbs.nl, infoservice@cbs.nl, , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"a5f961e9-ebdd-41e2-b8e8-ab33ed340a83","Adressen (INSPIRE geharmoniseerd)","http://kadaster/1d32fc50-cd5b-4425-b0df-16c7c7940e94","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"a29917b9-3426-4041-a11b-69bcb2256904","Kadastrale kaart v4","no MD_DataIdentificationCitationAnchor","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl, kcc@kadaster.nl, , ]","Nederlandse metadata profiel op ISO 19115 voor geografie 1.2"
"aa3b5e6e-7baa-40c0-8972-3353e927ec2f","BAG","http://kadaster/1fa33d90-79cb-11e2-b92a-0800200c9a66","Kadaster","[PPB-GVA@kadaster.nl, bag@kadaster.nl, bag@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"7939fd42-cf88-42c5-ab3b-232cf232a3ac","Actueel Hoogtebestand Nederland 2 (AHN2)","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/7939fd42-cf88-42c5-ab3b-232cf232a3ac","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"10d1153e-778f-4995-9b6c-7c69b196cccb","Statistical Units Vector","https://geodata.nationaalgeoregister.nl/cbsgebiedsindelingen/atom/cbsgebiedsindelingen.xml","Statistics Netherlands","[infoservice@cbs.nl, infoservice@cbs.nl, infoservice@cbs.nl, , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"4617f0e0-6af4-4ac0-9044-31df9d03071c","Zones volgens EU Gemeenschappelijk Visserijbeleid tot 3M en 6M","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records4617f0e0-6af4-4ac0-9044-31df9d03071c","no organisationName found in dataset record","[data@hydro.nl, data@hydro.nl, data@hydro.nl, , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"4e2ef670-cddd-11dd-ad8b-0800200c9a66","Stads- en Dorpsgezichten","http://services.rce.geovoorziening.nl/www/download/nl.xml","Rijksdienst voor het Cultureel Erfgoed","[info@cultureelerfgoed.nl, info@cultureelerfgoed.nl, info@cultureelerfgoed.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"c5c4a6d6-b850-473c-8ab5-af9c2c550809","Administratieve Eenheden","http://kadaster/06b6c650-cdb1-11dd-ad8b-0800200c9a76","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"29d5310f-dd0d-45ba-abad-b4ffc6b8785f","TOP10NL","http://kadaster/2482250f-3b00-4439-9f93-f3118229b201","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl, kcc@kadaster.nl, , , , , , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"31de946d-85d4-4c93-bb97-e25f4ef1401a","Vervoersnetwerken - Luchttransport (INSPIRE geharmoniseerd)","http://kadaster/3b7bb05b-2d2e-4329-9a72-0eac19e315de","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"08b27bf0-e34a-4b30-9eac-5edadfb6a288","Afgevoerde hoeveelheid afval in 2015 vanuit de industrie","https://data.rivm.nl/inspire/id#1de92b14-bc21-4f33-b0de-abd325e61804","no organisationName found in dataset record","[emissieregistratie@rivm.nl, , emissieregistratie@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"1c3afc74-cc34-44b7-938a-963e2350795a","Hydrografie - Physical Waters (INSPIRE geharmoniseerd)","http://kadaster/70a0f618-9d4f-4be9-9d9d-11106ff6971c","Kadaster","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"b61a773c-ecad-4e60-93e9-0a4caac0b52f","Olie- en gasvelden onder INSPIRE","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/xml.metadata.get?uuid=b61a773c-ecad-4e60-93e9-0a4caac0b52f","TNO Geologische Dienst Nederland","[info@dinoloket.nl, info@dinoloket.nl, info@dinoloket.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
